country,zip,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Statcan Census Division id","Statcan Census Division Name","Statcan Census Division Type","Statcan Census Division Type Description","Statcan Census Consolidated Subdivision id","Statcan Census Consolidated Subdivision Name","Statcan Census Subdivision id","Statcan Census Subdivision Name","Statcan Census Subdivision Type","Statcan Census Subdivision Type Description","Statcan Census Economic Region","Statcan Census Statistical Area Code","Statcan Census Statistical Area Code Description","Statcan Census Statistical Area Type","Statcan Census Statistical Area Type Description","Statcan Census CMA/CA id","Statcan Census CMA/CA Name","Statcan Census CMA/CA Type","Statcan Census CMA/CA Type Description","Statcan Census Tract","Statcan Census Year","Provincial/Territorial Riding OCD ID","Provincial/Territorial Riding Name (French)","Provincial/Territorial Riding Name (English)","Provincial/Territorial Riding Source","Federal Riding Code","Federal Riding OCD ID","Federal Riding Name (French)","Federal Riding Name (English)","Federal Riding Source"
Canada,M5A1T3,43.656041,-79.363157,1,place,,,"Toronto, ON M5A",,,,,Toronto,ON,,M5A,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350030.00,2021,ocd-division/country:ca/province:on/ed:toronto_centre-2004,"Toronto Centre","Toronto Centre","Elections Ontario",35109,ocd-division/country:ca/ed:35109-2023,Toronto-Centre,"Toronto Centre","Federal Redistribution"
Canada,M5A4H5,43.656634,-79.362383,1,place,,,"Toronto, ON M5A",,,,,Toronto,ON,,M5A,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350030.00,2021,ocd-division/country:ca/province:on/ed:toronto_centre-2004,"Toronto Centre","Toronto Centre","Elections Ontario",35109,ocd-division/country:ca/ed:35109-2023,Toronto-Centre,"Toronto Centre","Federal Redistribution"
Canada,M5B2C2,43.660335,-79.375488,1,place,,,"Toronto, ON M5B",,,,,Toronto,ON,,M5B,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350032.00,2021,ocd-division/country:ca/province:on/ed:toronto_centre-2004,"Toronto Centre","Toronto Centre","Elections Ontario",35109,ocd-division/country:ca/ed:35109-2023,Toronto-Centre,"Toronto Centre","Federal Redistribution"
Canada,M1K2B5,43.728016,-79.26724,1,place,,,"Scarborough, ON M1K",,,,,Scarborough,ON,,M1K,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350346.01,2021,ocd-division/country:ca/province:on/ed:98-2015,"Scarborough Southwest","Scarborough Southwest","Elections Ontario",35096,ocd-division/country:ca/ed:35096-2023,Scarborough-Sud-Ouest,"Scarborough Southwest","Federal Redistribution"
Canada,M5V1A3,43.636492,-79.398741,1,place,,,"Toronto, ON M5V",,,,,Toronto,ON,,M5V,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350012.01,2021,ocd-division/country:ca/province:on/ed:spadina-fort_york,"Spadina - Fort York","Spadina - Fort York","Elections Ontario",35100,ocd-division/country:ca/ed:35100-2023,Spadina—Harbourfront,Spadina—Harbourfront,"Federal Redistribution"
Canada,M1E2S2,43.766632,-79.192264,1,place,,,"Scarborough, ON M1E",,,,,Scarborough,ON,,M1E,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350358.03,2021,ocd-division/country:ca/province:on/ed:scarborough-guildwood,"Scarborough - Guildwood","Scarborough - Guildwood","Elections Ontario",35094,ocd-division/country:ca/ed:35094-2023,"Scarborough—Guildwood—Rouge Park","Scarborough—Guildwood—Rouge Park","Federal Redistribution"
Canada,M1R2T5,43.765535,-79.29974,1,place,,,"Scarborough, ON M1R",,,,,Scarborough,ON,,M1R,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350371.00,2021,ocd-division/country:ca/province:on/ed:94-2015,"Scarborough Centre","Scarborough Centre","Elections Ontario",35093,ocd-division/country:ca/ed:35093-2023,"Scarborough-Centre—Don Valley-Est","Scarborough Centre—Don Valley East","Federal Redistribution"
Canada,M2M3T3,43.785539,-79.417479,1,place,,,"North York, ON M2M",,,,,"North York",ON,,M2M,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350318.02,2021,ocd-division/country:ca/province:on/ed:117-2015,Willowdale,Willowdale,"Elections Ontario",35117,ocd-division/country:ca/ed:35117-2023,Willowdale,Willowdale,"Federal Redistribution"
Canada,M1T3G2,43.777508,-79.28273,1,place,,,"Scarborough, ON M1T",,,,,Scarborough,ON,,M1T,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350377.09,2021,ocd-division/country:ca/province:on/ed:scarborough-agincourt,"Scarborough - Agincourt","Scarborough - Agincourt","Elections Ontario",35092,ocd-division/country:ca/ed:35092-2023,Scarborough—Agincourt,Scarborough—Agincourt,"Federal Redistribution"
Canada,M2H3H9,43.801932,-79.341859,1,place,,,"North York, ON M2H",,,,,"North York",ON,,M2H,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350324.03,2021,ocd-division/country:ca/province:on/ed:don_valley_north-2015,"Don Valley North","Don Valley North","Elections Ontario",35092,ocd-division/country:ca/ed:35092-2023,Scarborough—Agincourt,Scarborough—Agincourt,"Federal Redistribution"
